11月11日11時36分	青 決勝
シーツ補正X lidar(3799,1758),-1	G(-3702,6440),N(-3701,6442)	RS(0,0)
シーツ補正X lidar(3804,1758),4	G(-3697,6440),N(-3701,6442)	RS(0,0)
シーツ補正X lidar(3804,1758),4	G(-3697,6440),N(-3701,6442)	RS(0,0)
シーツ補正X lidar(3804,1758),4	G(-3697,6440),N(-3701,6442)	RS(0,0)
シーツ補正X lidar(3799,1750),-1	G(-3702,6440),N(-3701,6442)	RS(0,0)
シーツ補正X lidar(3799,1750),-1	G(-3702,6440),N(-3701,6442)	RS(0,0)
シーツ補正X lidar(3804,1748),4	G(-3697,6440),N(-3701,6442)	RS(0,0)
シーツ補正X lidar(3804,1748),4	G(-3697,6440),N(-3701,6442)	RS(0,0)
シーツ補正X lidar(3801,1746),1	G(-3700,6440),N(-3701,6442)	RS(0,0)
シーツ補正X lidar(3801,1746),1	G(-3700,6440),N(-3701,6442)	RS(0,0)
シーツ補正X lidar(3807,1747),7	G(-3694,6440),N(-3701,6442)	RS(0,0)
シーツ補正X lidar(3807,1747),7	G(-3694,6440),N(-3701,6442)	RS(0,0)
シーツ補正X lidar(3807,1747),7	G(-3694,6440),N(-3701,6442)	RS(0,0)
シーツ補正X lidar(3795,1754),-5	G(-3706,6440),N(-3701,6442)	RS(0,0)
シーツ補正Y lidar(3795,1754),324	G(-3706,6766),N(-3701,6442)	RS(0,0)
シーツ補正X lidar(3795,1754),-5	G(-3706,6766),N(-3701,6442)	RS(0,0)
シーツ補正Y lidar(3795,1754),324	G(-3706,6766),N(-3701,6442)	RS(0,0)
シーツ補正X lidar(3791,1755),-9	G(-3710,6766),N(-3701,6442)	RS(0,0)
シーツ補正Y lidar(3791,1755),325	G(-3710,6767),N(-3701,6442)	RS(0,0)
シーツ補正X lidar(3791,1755),-9	G(-3710,6767),N(-3701,6442)	RS(0,0)
シーツ補正Y lidar(3791,1755),325	G(-3710,6767),N(-3701,6442)	RS(0,0)
シーツ補正X lidar(3797,1755),-3	G(-3704,6767),N(-3701,6442)	RS(0,0)
シーツ補正Y lidar(3797,1755),325	G(-3704,6767),N(-3701,6442)	RS(0,0)
シーツ補正X lidar(3797,1755),-3	G(-3704,6767),N(-3701,6442)	RS(0,0)
シーツ補正Y lidar(3797,1755),325	G(-3704,6767),N(-3701,6442)	RS(0,0)
シーツ補正X lidar(3794,1758),-6	G(-3707,6767),N(-3701,6442)	RS(0,0)
シーツ補正Y lidar(3794,1758),328	G(-3707,6770),N(-3701,6442)	RS(0,0)
シーツ補正X lidar(3794,1758),-6	G(-3707,6770),N(-3701,6442)	RS(0,0)
シーツ補正Y lidar(3794,1758),328	G(-3707,6770),N(-3701,6442)	RS(0,0)
シーツ補正X lidar(3794,1758),-6	G(-3707,6770),N(-3701,6441)	RS(0,0)
シーツ補正Y lidar(3794,1758),328	G(-3707,6769),N(-3701,6441)	RS(0,0)
シーツ補正X lidar(3791,1767),-9	G(-3710,6769),N(-3701,6441)	RS(0,0)
シーツ補正Y lidar(3791,1767),337	G(-3710,6778),N(-3701,6441)	RS(0,0)
シーツ補正X lidar(3791,1767),-9	G(-3710,6778),N(-3701,6442)	RS(0,0)
シーツ補正Y lidar(3791,1767),337	G(-3710,6779),N(-3701,6442)	RS(0,0)
シーツ補正X lidar(3793,1757),-7	G(-3709,6779),N(-3702,6442)	RS(0,0)
シーツ補正Y lidar(3793,1757),327	G(-3709,6769),N(-3702,6442)	RS(0,0)
シーツ補正X lidar(3793,1757),-7	G(-3709,6769),N(-3702,6443)	RS(0,0)
シーツ補正Y lidar(3793,1757),327	G(-3709,6770),N(-3702,6443)	RS(0,0)
シーツ補正X lidar(3783,1757),-17	G(-3720,6770),N(-3703,6445)	RS(0,0)
シーツ補正Y lidar(3783,1757),327	G(-3720,6772),N(-3703,6445)	RS(0,0)
シーツ補正X lidar(3783,1757),-17	G(-3721,6772),N(-3704,6447)	RS(0,0)
シーツ補正Y lidar(3783,1757),327	G(-3721,6774),N(-3704,6447)	RS(0,0)
シーツ補正X lidar(3792,1762),-8	G(-3712,6774),N(-3704,6450)	RS(0,0)
シーツ補正Y lidar(3792,1762),332	G(-3712,6782),N(-3704,6450)	RS(0,0)
シーツ補正X lidar(3792,1762),-8	G(-3714,6782),N(-3706,6454)	RS(0,0)
シーツ補正Y lidar(3792,1762),332	G(-3714,6786),N(-3706,6454)	RS(0,0)
シーツ補正X lidar(3792,1762),-8	G(-3718,6786),N(-3710,6464)	RS(0,0)
シーツ補正Y lidar(3792,1762),332	G(-3718,6796),N(-3710,6464)	RS(0,0)
シーツ補正X lidar(3808,1761),8	G(-3704,6796),N(-3712,6471)	RS(0,0)
シーツ補正Y lidar(3808,1761),331	G(-3704,6802),N(-3712,6471)	RS(0,0)
シーツ補正X lidar(3808,1761),8	G(-3706,6802),N(-3714,6478)	RS(0,0)
シーツ補正Y lidar(3808,1761),331	G(-3706,6809),N(-3714,6478)	RS(0,0)
シーツ補正X lidar(3805,1740),5	G(-3710,6809),N(-3715,6486)	RS(0,0)
シーツ補正Y lidar(3805,1740),310	G(-3710,6796),N(-3715,6486)	RS(0,0)
シーツ補正X lidar(3805,1740),5	G(-3712,6796),N(-3717,6502)	RS(0,0)
シーツ補正Y lidar(3805,1740),310	G(-3712,6812),N(-3717,6502)	RS(0,0)
シーツ補正X lidar(3817,1712),17	G(-3701,6812),N(-3718,6511)	RS(0,0)
シーツ補正Y lidar(3817,1712),282	G(-3701,6793),N(-3718,6511)	RS(0,0)
シーツ補正X lidar(3817,1712),17	G(-3701,6793),N(-3718,6520)	RS(0,0)
シーツ補正Y lidar(3817,1712),282	G(-3701,6802),N(-3718,6520)	RS(0,0)
シーツ補正X lidar(3812,1685),12	G(-3706,6802),N(-3718,6529)	RS(0,0)
シーツ補正Y lidar(3812,1685),255	G(-3706,6784),N(-3718,6529)	RS(0,0)
シーツ補正X lidar(3812,1685),12	G(-3706,6784),N(-3718,6550)	RS(0,0)
シーツ補正Y lidar(3812,1685),255	G(-3706,6805),N(-3718,6550)	RS(0,0)
シーツ補正X lidar(3812,1685),12	G(-3706,6805),N(-3718,6560)	RS(0,0)
シーツ補正Y lidar(3812,1685),255	G(-3706,6815),N(-3718,6560)	RS(0,0)
