10月21日21時0分	赤 予選
10月21日21時0分	赤 予選
バスタオル1補正X 無し lidar(3064,2910),1264	G(1849,5247),N(1687,5267)	RS(0,0)	14
バスタオル1補正Y lidar(3064,2910),-20	G(1849,5247),N(1687,5267)	RS(0,0)
バスタオル1補正X 無し lidar(3064,2910),1264	G(1849,5247),N(1701,5267)	RS(0,0)	14
RS無視 RS_Y:0,0,0 X:0	lidar_y:2910,-20
バスタオル1補正X 無し lidar(3039,2903),1264	G(1849,5200),N(1716,5264)	RS(0,0)	14
RS無視 RS_Y:0,0,0 X:0	lidar_y:2903,-27
バスタオル1補正X 無し lidar(3039,2903),1264	G(1849,5200),N(1734,5259)	RS(0,0)	14
RS無視 RS_Y:0,0,0 X:0	lidar_y:2903,-27
バスタオル1補正X 無し lidar(3008,2913),1264	G(1849,5200),N(1751,5255)	RS(0,0)	14
RS無視 RS_Y:0,0,0 X:0	lidar_y:2913,-17
バスタオル1補正X 無し lidar(3008,2913),1264	G(1849,5200),N(1769,5251)	RS(0,0)	14
RS無視 RS_Y:0,0,0 X:0	lidar_y:2913,-17
バスタオル1補正X 無し lidar(3008,2913),1264	G(1849,5200),N(1784,5246)	RS(0,0)	14
RS無視 RS_Y:0,0,0 X:0	lidar_y:2913,-17
バスタオル1補正X フェンス lidar(2960,2915),100	G(1891,5200),N(1791,5242)	RS(0,0)	14
バスタオル1補正Y lidar(2960,2915),-15	G(1891,5227),N(1791,5242)	RS(0,0)
バスタオル1補正X フェンス lidar(2960,2915),100	G(1904,5227),N(1804,5234)	RS(0,0)	14
バスタオル1補正Y lidar(2960,2915),-15	G(1904,5219),N(1804,5234)	RS(0,0)
バスタオル1補正X フェンス lidar(2920,2916),60	G(1875,5219),N(1815,5226)	RS(0,0)	14
バスタオル1補正Y lidar(2920,2916),-14	G(1875,5212),N(1815,5226)	RS(0,0)
バスタオル1補正X フェンス lidar(2920,2916),60	G(1885,5212),N(1825,5219)	RS(0,0)	14
バスタオル1補正Y lidar(2920,2916),-14	G(1885,5205),N(1825,5219)	RS(0,0)
バスタオル1補正X フェンス lidar(2920,2916),60	G(1893,5205),N(1833,5212)	RS(0,0)	14
バスタオル1補正Y lidar(2920,2916),-14	G(1893,5198),N(1833,5212)	RS(0,0)
バスタオル1補正X フェンス lidar(2905,2941),45	G(1886,5198),N(1841,5206)	RS(0,0)	14
バスタオル1補正Y lidar(2905,2941),11	G(1886,5217),N(1841,5206)	RS(0,0)
バスタオル1補正X フェンス lidar(2905,2941),45	G(1893,5217),N(1848,5202)	RS(0,0)	14
バスタオル1補正Y lidar(2905,2941),11	G(1893,5213),N(1848,5202)	RS(0,0)
バスタオル1補正X フェンス lidar(2891,2945),31	G(1884,5213),N(1853,5197)	RS(0,0)	14
バスタオル1補正Y lidar(2891,2945),15	G(1884,5212),N(1853,5197)	RS(0,0)
バスタオル1補正X フェンス lidar(2891,2945),31	G(1886,5212),N(1855,5196)	RS(0,0)	14
バスタオル1補正Y lidar(2891,2945),15	G(1886,5211),N(1855,5196)	RS(0,0)
バスタオル1補正X フェンス lidar(2891,2945),31	G(1890,5211),N(1859,5193)	RS(0,0)	14
バスタオル1補正Y lidar(2891,2945),15	G(1890,5208),N(1859,5193)	RS(0,0)
バスタオル1補正X フェンス lidar(2836,2964),-24	G(1836,5208),N(1860,5193)	RS(0,0)	14
バスタオル1補正Y lidar(2836,2964),34	G(1836,5227),N(1860,5193)	RS(0,0)
バスタオル1補正X フェンス lidar(2836,2964),-24	G(1837,5227),N(1861,5193)	RS(0,0)	14
バスタオル1補正Y lidar(2836,2964),34	G(1837,5227),N(1861,5193)	RS(0,0)
バスタオル1補正X 無し lidar(2112,2961),312	G(1837,5227),N(1861,5194)	RS(0,0)	14
バスタオル1補正Y lidar(2112,2961),31	G(1837,5225),N(1861,5194)	RS(0,0)
バスタオル1補正X 無し lidar(2112,2961),312	G(1837,5225),N(1861,5194)	RS(0,0)	14
バスタオル1補正Y lidar(2112,2961),31	G(1837,5225),N(1861,5194)	RS(0,0)
バスタオル1補正X 無し lidar(2112,2961),312	G(1837,5225),N(1861,5194)	RS(0,0)	14
バスタオル1補正Y lidar(2112,2961),31	G(1837,5225),N(1861,5194)	RS(0,0)
