11月18日20時25分	赤 決勝
バスタオル2補正X フェンス lidar(2667,2438),1222	G(3467,5700),N(2245,5691,-0.628445)	RS(0,0)	wait:0	12
バスタオル2補正X フェンス lidar(2637,2420),1192	G(3449,5700),N(2257,5691,-0.662453)	RS(0,0)	wait:0	12
バスタオル2補正X フェンス lidar(2637,2420),1192	G(3477,5700),N(2285,5690,-0.691441)	RS(0,0)	wait:0	12
バスタオル2補正X フェンス lidar(2603,2423),1158	G(3460,5700),N(2302,5689,-0.662669)	RS(0,0)	wait:0	12
バスタオル2補正X フェンス lidar(2603,2423),1158	G(3478,5700),N(2320,5688,-0.593515)	RS(0,0)	wait:0	12
バスタオル2補正X フェンス lidar(2557,2427),1112	G(3451,5700),N(2339,5686,-0.523828)	RS(0,0)	wait:0	12
バスタオル2補正X フェンス lidar(2557,2427),1112	G(3494,5700),N(2382,5683,-0.430447)	RS(0,0)	wait:0	12
バスタオル2補正X フェンス lidar(2557,2427),1112	G(3517,5700),N(2405,5682,-0.404819)	RS(0,0)	wait:0	12
バスタオル2補正X フェンス lidar(2509,2426),1064	G(3493,5700),N(2429,5681,-0.396480)	RS(0,0)	wait:0	12
バスタオル2補正X フェンス lidar(2509,2426),1064	G(3543,5700),N(2479,5678,-0.383184)	RS(0,0)	wait:0	12
バスタオル2補正X 無し lidar(2435,2426),1064	G(3543,5340),N(2533,5677,-0.363509)	RS(0,0)	12
バスタオル2補正X 無し lidar(2356,2435),1064	G(3543,5340),N(2561,5676,-0.350701)	RS(0,0)	12
バスタオル2補正X 無し lidar(2356,2435),1064	G(3543,5340),N(2620,5676,-0.275016)	RS(0,0)	12
バスタオル2補正X 無し lidar(2261,2438),1064	G(3543,5340),N(2651,5676,-0.236868)	RS(0,0)	12
バスタオル2補正X 無し lidar(2261,2438),1064	G(3543,5340),N(2682,5676,-0.196534)	RS(0,0)	12
バスタオル2補正X 無し lidar(2261,2438),1064	G(3543,5340),N(2714,5676,-0.172679)	RS(0,0)	12
バスタオル2補正X 無し lidar(2169,2435),1064	G(3543,5340),N(2781,5676,-0.109217)	RS(0,0)	12
バスタオル2補正X 無し lidar(2169,2435),1064	G(3543,5340),N(2815,5675,-0.092655)	RS(0,0)	12
