11月11日20時24分	青 決勝
11月11日20時24分	青 決勝
CS通信切れ
バスタオル2補正X 無し lidar(2174,2689),479	G(-3480,5700),N(-2062,5602,-0.136855)	RS(0,0)	11
バスタオル2補正X 無し lidar(2178,2624),483	G(-3480,5700),N(-2063,5620,-0.128072)	RS(0,0)	11
CS通信回復
バスタオル2補正X 無し lidar(2178,2624),483	G(-3480,5700),N(-2065,5638,-0.130396)	RS(-695,3429)	11
バスタオル2補正X 無し lidar(2181,2571),486	G(-3480,5700),N(-2067,5653,-0.110333)	RS(-693,3380)	11
バスタオル2補正X 無し lidar(2181,2571),486	G(-3480,5700),N(-2076,5677,-0.040845)	RS(-693,3380)	11
バスタオル2補正X 無し lidar(2181,2571),486	G(-3480,5700),N(-2082,5686,-0.001818)	RS(-687,3331)	11
バスタオル2補正X 無し lidar(2199,2571),504	G(-3480,5700),N(-2088,5693,-0.004815)	RS(-687,3331)	11
バスタオル2補正X 無し lidar(2199,2571),504	G(-3480,5700),N(-2097,5699,0.007286)	RS(-679,3287)	12
バスタオル2補正X 無し lidar(2213,2519),518	G(-3480,5700),N(-2115,5705,0.000103)	RS(-666,3246)	12
バスタオル2補正X 無し lidar(2213,2519),518	G(-3480,5700),N(-2125,5706,-0.011039)	RS(-666,3246)	12
バスタオル2補正X 無し lidar(2246,2497),551	G(-3480,5700),N(-2138,5706,-0.012131)	RS(-653,3211)	12
バスタオル2補正X 無し lidar(2246,2497),551	G(-3480,5700),N(-2152,5706,-0.015366)	RS(-653,3211)	12
バスタオル2補正X 無し lidar(2279,2499),584	G(-3480,5700),N(-2183,5704,0.055939)	RS(-637,3190)	12
バスタオル2補正X 無し lidar(2279,2499),584	G(-3480,5700),N(-2200,5704,0.095816)	RS(-614,3171)	12
バスタオル2補正X 無し lidar(2279,2499),584	G(-3480,5700),N(-2218,5704,0.118081)	RS(-614,3171)	12
バスタオル2補正X 無し lidar(2327,2496),632	G(-3480,5700),N(-2259,5703,0.136700)	RS(-587,3162)	12
バスタオル2補正X 無し lidar(2327,2496),632	G(-3480,5700),N(-2281,5702,0.148918)	RS(-587,3162)	12
バスタオル2補正X 無し lidar(2393,2503),698	G(-3480,5700),N(-2304,5701,0.178081)	RS(-554,3153)	12
バスタオル2補正X 無し lidar(2393,2503),698	G(-3480,5700),N(-2329,5701,0.171642)	RS(-554,3153)	12
バスタオル2補正X 無し lidar(2461,2506),766	G(-3480,5700),N(-2380,5701,0.174330)	RS(-519,3166)	12
バスタオル2補正X 無し lidar(2461,2506),766	G(-3480,5700),N(-2406,5701,0.161618)	RS(-477,3161)	12
バスタオル2補正X 無し lidar(2528,2505),833	G(-3480,5700),N(-2434,5701,0.153435)	RS(-477,3161)	12
バスタオル2補正X 無し lidar(2528,2505),833	G(-3480,5700),N(-2462,5700,0.147729)	RS(-432,3184)	12
バスタオル2補正X 無し lidar(2528,2505),833	G(-3480,5700),N(-2520,5700,0.133446)	RS(-379,3172)	12
バスタオル2補正X 無し lidar(2604,2500),909	G(-3480,5700),N(-2552,5700,0.126221)	RS(-379,3172)	12
バスタオル2補正X 無し lidar(2604,2500),909	G(-3480,5700),N(-2583,5700,0.119964)	RS(-321,3175)	12
バスタオル2補正X 無し lidar(2696,2511),1001	G(-3480,5700),N(-2615,5701,0.103239)	RS(-266,3186)	12
バスタオル2補正X 無し lidar(2696,2511),1001	G(-3480,5700),N(-2681,5702,0.136817)	RS(-266,3186)	12
バスタオル2補正X 無し lidar(2784,2511),1089	G(-3480,5700),N(-2715,5702,0.146737)	RS(-200,3169)	12
バスタオル2補正X 無し lidar(2784,2511),1089	G(-3480,5700),N(-2750,5701,0.142885)	RS(-200,3169)	12
バスタオル2補正X 無し lidar(2882,2517),1187	G(-3480,5700),N(-2785,5701,0.139604)	RS(-134,3171)	12
バスタオル2補正X 無し lidar(2882,2517),1187	G(-3480,5700),N(-2855,5701,0.117805)	RS(-64,3193)	12
バスタオル2補正X 無し lidar(2882,2517),1187	G(-3480,5700),N(-2890,5701,0.082825)	RS(-64,3193)	13
バスタオル2補正X 無し lidar(2972,2519),1277	G(-3480,5700),N(-2925,5702,0.060045)	RS(-13,3204)	13
バスタオル2補正X 無し lidar(2972,2519),1277	G(-3480,5700),N(-2994,5702,-0.019829)	RS(58,3218)	13
バスタオル2補正X 無し lidar(3064,2529),1369	G(-3480,5700),N(-3026,5701,0.012396)	RS(58,3218)	13
バスタオル2補正X 無し lidar(3064,2529),1369	G(-3480,5700),N(-3058,5701,0.020292)	RS(128,3221)	13
バスタオル2補正X 無し lidar(3166,2527),1369	G(-3480,5340),N(-3090,5701,-0.002184)	RS(128,3221)	13
バスタオル2補正X 無し lidar(3166,2527),1471	G(-3480,5340),N(-3150,5701,-0.035321)	RS(195,3205)	13
バスタオル2補正X 無し lidar(3258,2529),1563	G(-3480,5340),N(-3178,5702,-0.049201)	RS(260,3226)	13
バスタオル2補正X RS_X:326,-315 Y:3226	G(-3516,5340),N(-3232,5702,-0.065384)	lidar(3258,2529)	13
