11月6日21時27分	青 決勝
CS通信切れ
シーツ補正X lidar(3849,1792),19	G(-3795,6790),N(-3814,6436)	RS(0,0)
シーツ補正Y lidar(3849,1792),362	G(-3795,6798),N(-3814,6436)	RS(0,0)
シーツ補正X lidar(3848,1766),18	G(-3794,6798),N(-3812,6445)	RS(0,0)
シーツ補正Y lidar(3848,1766),336	G(-3794,6781),N(-3812,6445)	RS(0,0)
シーツ補正X lidar(3848,1766),18	G(-3790,6781),N(-3808,6464)	RS(0,0)
シーツ補正Y lidar(3848,1766),336	G(-3790,6800),N(-3808,6464)	RS(0,0)
シーツ補正X lidar(3851,1730),21	G(-3785,6800),N(-3806,6475)	RS(0,0)
シーツ補正Y lidar(3851,1730),300	G(-3785,6775),N(-3806,6475)	RS(0,0)
シーツ補正X lidar(3851,1730),21	G(-3783,6775),N(-3804,6485)	RS(0,0)
シーツ補正Y lidar(3851,1730),300	G(-3783,6785),N(-3804,6485)	RS(0,0)
シーツ補正X lidar(3841,1701),11	G(-3790,6785),N(-3801,6496)	RS(0,0)
シーツ補正Y lidar(3841,1701),271	G(-3790,6767),N(-3801,6496)	RS(0,0)
シーツ補正X lidar(3841,1701),11	G(-3784,6767),N(-3795,6519)	RS(0,0)
シーツ補正Y lidar(3841,1701),271	G(-3784,6790),N(-3795,6519)	RS(0,0)
シーツ補正X lidar(3831,1676),1	G(-3791,6790),N(-3792,6530)	RS(0,0)
シーツ補正Y lidar(3831,1676),246	G(-3791,6776),N(-3792,6530)	RS(0,0)
シーツ補正X lidar(3831,1676),1	G(-3789,6776),N(-3790,6541)	RS(0,0)
シーツ補正Y lidar(3831,1676),246	G(-3789,6787),N(-3790,6541)	RS(0,0)
シーツ補正X lidar(3831,1676),1	G(-3787,6787),N(-3788,6553)	RS(0,0)
シーツ補正Y lidar(3831,1676),246	G(-3787,6799),N(-3788,6553)	RS(0,0)
シーツ補正X lidar(3832,1651),2	G(-3783,6799),N(-3785,6577)	RS(0,0)
シーツ補正Y lidar(3832,1651),221	G(-3783,6798),N(-3785,6577)	RS(0,0)
シーツ補正X lidar(3832,1651),2	G(-3783,6798),N(-3785,6589)	RS(0,0)
シーツ補正Y lidar(3832,1651),221	G(-3783,6810),N(-3785,6589)	RS(0,0)
シーツ補正X lidar(3814,1651),-16	G(-3800,6810),N(-3784,6602)	RS(0,0)
シーツ補正Y lidar(3814,1651),221	G(-3800,6823),N(-3784,6602)	RS(0,0)
シーツ補正X lidar(3814,1651),-16	G(-3801,6823),N(-3785,6629)	RS(0,0)
シーツ補正Y lidar(3814,1651),221	G(-3801,6850),N(-3785,6629)	RS(0,0)
シーツ補正X lidar(3823,1611),-7	G(-3792,6850),N(-3785,6642)	RS(0,0)
シーツ補正Y lidar(3823,1611),181	G(-3792,6823),N(-3785,6642)	RS(0,0)
シーツリミット左 lidar(3823,1611) RS_Y:0,X:0	now(-3786,6655,0.057897)
シーツ補正Y lidar(3823,1611),181	G(-3771,6836),N(-3786,6655)	RS(0,0)
シーツリミット左 lidar(3819,1569) RS_Y:0,X:0	now(-3786,6668,0.047732)
シーツ補正Y lidar(3819,1569),139	G(-3771,6807),N(-3786,6668)	RS(0,0)
シーツリミット左 lidar(3819,1569) RS_Y:0,X:0	now(-3787,6694,0.025418)
シーツ補正Y lidar(3819,1569),139	G(-3787,6833),N(-3787,6694)	RS(0,0)
シーツリミット左 lidar(3819,1569) RS_Y:0,X:0	now(-3787,6706,0.009585)
シーツ補正Y lidar(3819,1569),139	G(-3772,6845),N(-3787,6706)	RS(0,0)
シーツリミット左 lidar(3827,1513) RS_Y:0,X:0	now(-3787,6718,-0.012247)
シーツ補正Y lidar(3827,1513),83	G(-3772,6801),N(-3787,6718)	RS(0,0)
シーツリミット左 lidar(3827,1513) RS_Y:0,X:0	now(-3787,6730,-0.026890)
シーツ補正Y lidar(3827,1513),83	G(-3787,6813),N(-3787,6730)	RS(0,0)
シーツリミット左 lidar(3821,1468) RS_Y:0,X:0	now(-3787,6750,-0.048408)
シーツ補正Y lidar(3821,1468),38	G(-3787,6788),N(-3787,6750)	RS(0,0)
シーツリミット左 lidar(3821,1468) RS_Y:0,X:0	now(-3787,6759,-0.063983)
シーツ補正Y lidar(3821,1468),38	G(-3787,6797),N(-3787,6759)	RS(0,0)
シーツリミット左 lidar(3822,1431) RS_Y:0,X:0	now(-3787,6768,-0.060965)
シーツ補正Y lidar(3822,1431),1	G(-3787,6769),N(-3787,6768)	RS(0,0)
シーツリミット左 lidar(3822,1431) RS_Y:0,X:0	now(-3787,6774,-0.063524)
シーツ補正Y lidar(3822,1431),1	G(-3787,6775),N(-3787,6774)	RS(0,0)
シーツはじめ lidar(3828,1406) now(-3787.602783,6784.620605,-0.171335)	RS(0,0)	16
干し右よけ待ち RS_X:0,50000	G(-1650,6774),N(-3788,6774)	lidar(3827,1387)
干し右よけ待ち RS_X:0,50000	G(-1650,6774),N(-3788,6774)	lidar(3827,1387)
干し右よけ待ち RS_X:0,50000	G(-1650,6774),N(-3788,6774)	lidar(3831,1386)
