10月21日20時37分	赤 予選
10月21日20時37分	赤 予選
シーツ補正Y lidar(3032,1706),326	G(1899,6691),N(1897,6365)	RS(948,2377)
シーツ補正X lidar(3024,1711),-6	G(1894,6691),N(1900,6369)	RS(948,2377)
シーツ補正Y lidar(3024,1711),331	G(1894,6700),N(1900,6369)	RS(948,2377)
シーツ補正X lidar(3024,1711),-6	G(1896,6700),N(1902,6373)	RS(948,2380)
シーツ補正Y lidar(3024,1711),331	G(1896,6704),N(1902,6373)	RS(948,2380)
シーツ補正X lidar(3024,1711),-6	G(1899,6704),N(1905,6378)	RS(945,2378)
シーツ補正Y lidar(3024,1711),331	G(1899,6709),N(1905,6378)	RS(945,2378)
シーツ補正X lidar(3024,1714),-6	G(1900,6709),N(1906,6384)	RS(945,2378)
シーツ補正Y lidar(3024,1714),334	G(1900,6718),N(1906,6384)	RS(945,2378)
シーツ補正X lidar(3024,1714),-6	G(1899,6718),N(1905,6391)	RS(943,2377)
シーツ補正Y lidar(3024,1714),334	G(1899,6725),N(1905,6391)	RS(943,2377)
シーツ補正X lidar(3019,1712),-11	G(1894,6725),N(1905,6393)	RS(939,2375)
シーツ補正Y lidar(3019,1712),332	G(1894,6725),N(1905,6393)	RS(939,2375)
シーツ補正X lidar(3019,1712),-11	G(1894,6725),N(1905,6399)	RS(939,2375)
シーツ補正Y lidar(3019,1712),332	G(1894,6731),N(1905,6399)	RS(939,2375)
シーツ補正X lidar(3019,1712),-11	G(1893,6731),N(1904,6403)	RS(936,2369)
シーツ補正Y lidar(3019,1712),332	G(1893,6735),N(1904,6403)	RS(936,2369)
シーツ補正X lidar(3018,1693),-12	G(1893,6735),N(1905,6409)	RS(936,2369)
シーツ補正Y lidar(3018,1693),313	G(1893,6722),N(1905,6409)	RS(936,2369)
シーツ補正X lidar(3018,1693),-12	G(1893,6722),N(1905,6414)	RS(931,2355)
シーツ補正Y lidar(3018,1693),313	G(1893,6727),N(1905,6414)	RS(931,2355)
シーツ補正X lidar(3019,1682),-11	G(1894,6727),N(1905,6422)	RS(932,2352)
シーツ補正Y lidar(3019,1682),302	G(1894,6724),N(1905,6422)	RS(932,2352)
シーツ補正X lidar(3019,1682),-11	G(1894,6724),N(1905,6426)	RS(932,2352)
シーツ補正Y lidar(3019,1682),302	G(1894,6728),N(1905,6426)	RS(932,2352)
シーツ補正X lidar(3019,1682),-11	G(1893,6728),N(1904,6434)	RS(932,2343)
シーツ補正Y lidar(3019,1682),302	G(1893,6736),N(1904,6434)	RS(932,2343)
シーツ補正X lidar(3017,1667),-13	G(1890,6736),N(1903,6443)	RS(934,2328)
シーツ補正Y lidar(3017,1667),287	G(1890,6730),N(1903,6443)	RS(934,2328)
シーツ補正X lidar(3017,1667),-13	G(1888,6730),N(1901,6452)	RS(934,2328)
シーツ補正Y lidar(3017,1667),287	G(1888,6739),N(1901,6452)	RS(934,2328)
シーツ補正X lidar(3020,1648),-10	G(1888,6739),N(1898,6461)	RS(935,2319)
シーツ補正Y lidar(3020,1648),268	G(1888,6729),N(1898,6461)	RS(935,2319)
シーツ補正X lidar(3020,1648),-10	G(1886,6729),N(1896,6473)	RS(935,2319)
シーツ補正Y lidar(3020,1648),268	G(1886,6741),N(1896,6473)	RS(935,2319)
シーツ補正X lidar(3020,1648),-10	G(1883,6741),N(1893,6484)	RS(942,2315)
シーツ補正Y lidar(3020,1648),268	G(1883,6752),N(1893,6484)	RS(942,2315)
シーツ補正X lidar(3035,1630),5	G(1897,6752),N(1892,6489)	RS(947,2303)
シーツ補正Y lidar(3035,1630),250	G(1897,6739),N(1892,6489)	RS(947,2303)
シーツ補正X lidar(3035,1630),5	G(1894,6739),N(1889,6501)	RS(947,2303)
シーツ補正Y lidar(3035,1630),250	G(1894,6751),N(1889,6501)	RS(947,2303)
シーツ補正X lidar(3032,1608),2	G(1889,6751),N(1887,6513)	RS(954,2292)
シーツ補正Y RS_Y:2292,144 X:954	G(1889,6652),N(1887,6513)
シーツ補正X lidar(3032,1608),2	G(1888,6652),N(1886,6525)	RS(954,2292)
シーツ補正Y RS_Y:2292,144 X:954	G(1888,6652),N(1886,6525)
シーツ補正X lidar(3032,1608),2	G(1887,6652),N(1885,6536)	RS(962,2284)
シーツ補正Y RS_Y:2284,137 X:962	G(1887,6663),N(1885,6536)
シーツ補正X lidar(3033,1593),3	G(1886,6663),N(1883,6547)	RS(968,2273)
シーツ補正Y RS_Y:2273,126 X:968	G(1886,6668),N(1883,6547)
シーツ補正X lidar(3033,1593),3	G(1886,6668),N(1883,6558)	RS(968,2273)
シーツ補正Y RS_Y:2273,126 X:968	G(1886,6668),N(1883,6558)
シーツ補正X lidar(3037,1575),7	G(1889,6668),N(1882,6564)	RS(972,2258)
シーツ補正Y RS_Y:2258,112 X:972	G(1889,6670),N(1882,6564)
シーツ補正X lidar(3037,1575),-43	G(1838,6670),N(1881,6573)	RS(976,2242)
シーツ補正Y RS_Y:2242,97 X:976	G(1838,6671),N(1881,6573)
シーツ補正X lidar(3037,1575),-43	G(1838,6671),N(1881,6585)	RS(976,2242)
シーツ補正Y RS_Y:2242,97 X:976	G(1838,6671),N(1881,6585)
