11月5日20時47分	赤 決勝
シーツ補正Y lidar(3057,1528),88	G(1729,6780),N(1782,6692)	RS(0,0)
シーツ補正X lidar(3058,1488),-52	G(1730,6780),N(1782,6702)	RS(0,0)
シーツ補正Y lidar(3058,1488),48	G(1730,6750),N(1782,6702)	RS(0,0)
シーツ補正X lidar(3058,1488),-52	G(1729,6750),N(1781,6712)	RS(0,0)
シーツ補正Y lidar(3058,1488),48	G(1729,6760),N(1781,6712)	RS(0,0)
シーツ補正X lidar(3065,1462),-45	G(1736,6760),N(1781,6730)	RS(0,0)
シーツ補正Y lidar(3065,1462),22	G(1736,6752),N(1781,6730)	RS(0,0)
シーツ補正X lidar(3065,1462),-45	G(1736,6752),N(1781,6738)	RS(0,0)
シーツ補正Y lidar(3065,1462),22	G(1736,6760),N(1781,6738)	RS(0,0)
シーツ補正X lidar(3058,1462),-52	G(1729,6760),N(1781,6744)	RS(0,0)
シーツ補正Y lidar(3058,1462),22	G(1729,6766),N(1781,6744)	RS(0,0)
シーツ補正X lidar(3058,1462),-52	G(1728,6766),N(1780,6752)	RS(0,0)
シーツ補正Y lidar(3058,1462),22	G(1728,6774),N(1780,6752)	RS(0,0)
シーツ補正X lidar(3058,1462),-52	G(1728,6774),N(1780,6753)	RS(0,0)
シーツ補正Y lidar(3058,1462),22	G(1728,6775),N(1780,6753)	RS(0,0)
シーツ補正X lidar(3066,1438),-44	G(1736,6775),N(1780,6753)	RS(0,0)
シーツ補正Y lidar(3066,1438),-2	G(1736,6751),N(1780,6753)	RS(0,0)
シーツ補正X lidar(3066,1438),-44	G(1735,6751),N(1779,6752)	RS(0,0)
シーツ補正Y lidar(3066,1438),-2	G(1735,6750),N(1779,6752)	RS(0,0)
シーツ補正X lidar(3068,1426),-42	G(1736,6750),N(1778,6751)	RS(0,0)
シーツ補正Y lidar(3068,1426),-14	G(1736,6737),N(1778,6751)	RS(0,0)
シーツ補正X lidar(3068,1426),-42	G(1735,6737),N(1777,6750)	RS(0,0)
シーツ補正Y lidar(3068,1426),-14	G(1735,6736),N(1777,6750)	RS(0,0)
シーツ補正X lidar(3074,1424),-36	G(1740,6736),N(1776,6749)	RS(0,0)
シーツ補正Y lidar(3074,1424),-16	G(1740,6733),N(1776,6749)	RS(0,0)
シーツ補正X lidar(3074,1424),-36	G(1739,6733),N(1775,6746)	RS(0,0)
シーツ補正Y lidar(3074,1424),-16	G(1739,6730),N(1775,6746)	RS(0,0)
シーツ補正X lidar(3077,1431),-33	G(1736,6730),N(1769,6740)	RS(0,0)
シーツ補正Y lidar(3077,1431),-9	G(1736,6731),N(1769,6740)	RS(0,0)
シーツ補正X lidar(3077,1431),-33	G(1732,6731),N(1765,6736)	RS(0,0)
シーツ補正Y lidar(3077,1431),-9	G(1732,6727),N(1765,6736)	RS(0,0)
シーツ補正X lidar(3077,1431),-33	G(1729,6727),N(1762,6732)	RS(0,0)
シーツ補正Y lidar(3077,1431),-9	G(1729,6723),N(1762,6732)	RS(0,0)
シーツ補正X lidar(3089,1442),-21	G(1738,6723),N(1759,6729)	RS(0,0)
シーツ補正Y lidar(3089,1442),2	G(1738,6731),N(1759,6729)	RS(0,0)
シーツ補正X lidar(3089,1442),-21	G(1732,6731),N(1753,6724)	RS(0,0)
シーツ補正Y lidar(3089,1442),2	G(1732,6726),N(1753,6724)	RS(0,0)
シーツ補正X lidar(3092,1455),-18	G(1732,6726),N(1750,6721)	RS(0,0)
シーツ補正Y lidar(3092,1455),15	G(1732,6736),N(1750,6721)	RS(0,0)
シーツ補正X lidar(3092,1455),-18	G(1730,6736),N(1748,6720)	RS(0,0)
シーツ補正Y lidar(3092,1455),15	G(1730,6735),N(1748,6720)	RS(0,0)
シーツ補正X lidar(3105,1464),-5	G(1739,6735),N(1744,6717)	RS(0,0)
シーツ補正Y lidar(3105,1464),24	G(1739,6741),N(1744,6717)	RS(0,0)
シーツ補正X lidar(3105,1464),-5	G(1738,6741),N(1743,6716)	RS(0,0)
シーツ補正Y lidar(3105,1464),24	G(1738,6740),N(1743,6716)	RS(0,0)
シーツ補正X lidar(3106,1478),-4	G(1738,6740),N(1742,6715)	RS(0,0)
シーツ補正Y lidar(3106,1478),38	G(1738,6753),N(1742,6715)	RS(0,0)
シーツ補正X lidar(3106,1478),-4	G(1737,6753),N(1741,6715)	RS(0,0)
シーツ補正Y lidar(3106,1478),38	G(1737,6753),N(1741,6715)	RS(0,0)
シーツ補正X lidar(3106,1478),-4	G(1736,6753),N(1740,6716)	RS(0,0)
シーツ補正Y lidar(3106,1478),38	G(1736,6754),N(1740,6716)	RS(0,0)
シーツ補正X lidar(3112,1474),2	G(1741,6754),N(1739,6717)	RS(0,0)
シーツ補正Y lidar(3112,1474),34	G(1741,6751),N(1739,6717)	RS(0,0)
シーツ補正X lidar(3112,1474),2	G(1741,6751),N(1739,6718)	RS(0,0)
シーツ補正Y lidar(3112,1474),34	G(1741,6752),N(1739,6718)	RS(0,0)
シーツ補正X lidar(3107,1474),-3	G(1735,6752),N(1738,6719)	RS(0,0)
シーツ補正Y lidar(3107,1474),34	G(1735,6753),N(1738,6719)	RS(0,0)
シーツ補正X lidar(3107,1474),-3	G(1732,6753),N(1735,6722)	RS(0,0)
シーツ補正Y lidar(3107,1474),34	G(1732,6756),N(1735,6722)	RS(0,0)
シーツ補正X lidar(3108,1472),-2	G(1732,6756),N(1734,6724)	RS(0,0)
シーツ補正Y lidar(3108,1472),32	G(1732,6756),N(1734,6724)	RS(0,0)
シーツ補正X lidar(3108,1472),-2	G(1731,6756),N(1733,6726)	RS(0,0)
シーツ補正Y lidar(3108,1472),32	G(1731,6758),N(1733,6726)	RS(0,0)
シーツ補正X lidar(3118,1469),8	G(1739,6758),N(1731,6730)	RS(0,0)
シーツ補正Y lidar(3118,1469),29	G(1739,6759),N(1731,6730)	RS(0,0)
シーツ補正X lidar(3118,1469),8	G(1737,6759),N(1729,6731)	RS(0,0)
シーツ補正Y lidar(3118,1469),29	G(1737,6760),N(1729,6731)	RS(0,0)
シーツ補正X lidar(3118,1469),8	G(1736,6760),N(1728,6733)	RS(0,0)
シーツ補正Y lidar(3118,1469),29	G(1736,6762),N(1728,6733)	RS(0,0)
シーツリミット左 lidar(3110,1468) RS_Y:0,X:0	now(1727,6734,0.086837)
シーツ補正Y lidar(3110,1468),28	G(1727,6762),N(1727,6734)	RS(0,0)
シーツリミット左 lidar(3110,1468) RS_Y:0,X:0	now(1727,6736,0.186567)
シーツ補正Y lidar(3110,1468),28	G(1727,6764),N(1727,6736)	RS(0,0)
シーツリミット左 lidar(3111,1463) RS_Y:0,X:0	now(1727,6737,0.231435)
シーツ補正Y lidar(3111,1463),23	G(1727,6760),N(1727,6737)	RS(0,0)
シーツリミット左 lidar(3111,1463) RS_Y:0,X:0	now(1727,6737,0.274404)
シーツ補正Y lidar(3111,1463),23	G(1727,6760),N(1727,6737)	RS(0,0)
