11月5日20時38分	赤 決勝
11月5日20時38分	赤 決勝
干し右よけ待ち RS_X:0,50000	G(3880,6672),N(1763,6672)	lidar(3116,1477)
干し右よけ待ち RS_X:0,50000	G(3880,6672),N(1763,6672)	lidar(3116,1477)
干し右よけ待ち RS_X:0,50000	G(3880,6672),N(1763,6672)	lidar(3116,1477)
干し右よけ待ち RS_X:0,50000	G(3880,6672),N(1763,6672)	lidar(3115,1473)
干し右よけ待ち RS_X:0,50000	G(3880,6672),N(1763,6672)	lidar(3115,1473)
干し右よけ待ち RS_X:0,50000	G(3880,6672),N(1763,6672)	lidar(3119,1474)
干し右よけ待ち RS_X:0,50000	G(3880,6672),N(1763,6672)	lidar(3119,1474)
干し右よけ待ち RS_X:0,50000	G(3880,6672),N(1764,6672)	lidar(3119,1476)
干し右よけ待ち RS_X:0,50000	G(3880,6672),N(1764,6672)	lidar(3119,1476)
干し右よけ待ち RS_X:0,50000	G(3880,6672),N(1764,6672)	lidar(3112,1474)
干し右よけ待ち RS_X:0,50000	G(3880,6672),N(1764,6673)	lidar(3112,1474)
干し右よけ待ち RS_X:0,50000	G(3880,6672),N(1764,6673)	lidar(3112,1474)
干し右よけ待ち RS_X:0,50000	G(3880,6672),N(1765,6673)	lidar(3118,1465)
干し右よけ待ち RS_X:0,50000	G(3880,6672),N(1765,6674)	lidar(3118,1465)
干し右よけ待ち RS_X:0,50000	G(3880,6672),N(1767,6675)	lidar(3117,1473)
干し右よけ待ち RS_X:0,50000	G(3880,6672),N(1770,6675)	lidar(3117,1473)
干し右よけ待ち RS_X:0,50000	G(3880,6672),N(1773,6676)	lidar(3107,1475)
干し右よけ待ち RS_X:0,50000	G(3880,6672),N(1778,6676)	lidar(3107,1475)
干し右よけ待ち RS_X:0,50000	G(3880,6672),N(1790,6677)	lidar(3085,1467)
干し右よけ待ち RS_X:0,50000	G(3880,6672),N(1797,6677)	lidar(3085,1467)
干し右よけ待ち RS_X:0,50000	G(3880,6672),N(1805,6678)	lidar(3085,1467)
干し右よけ待ち RS_X:0,50000	G(3880,6672),N(1823,6677)	lidar(3073,1459)
干し右よけ待ち RS_X:0,50000	G(3880,6672),N(1833,6677)	lidar(3073,1459)
干し右よけ待ち RS_X:0,50000	G(3880,6672),N(1843,6677)	lidar(3055,1459)
干し右よけ待ち RS_X:0,50000	G(3880,6672),N(1854,6676)	lidar(3055,1459)
